2025-11-05 20:06:58 | 세션 시작: session_027
2025-11-05 20:06:58 | 폴더 경로: experiments/20251105/20251105_200658_session_027
2025-11-05 20:06:58 | 설정 파일 저장: db_config.yaml
2025-11-05 20:06:58 | 설정 파일 저장: model_config.yaml
2025-11-05 20:06:58 | 설정 파일 저장: multi_request_patterns.yaml
2025-11-05 20:06:58 | ==========
2025-11-05 20:06:58 | ============================================================
2025-11-05 20:06:58 | 전체 데이터 파이프라인 실행
2025-11-05 20:06:58 | ============================================================
2025-11-05 20:06:58 | ============================================================
2025-11-05 20:06:58 | Phase 1: arXiv 논문 수집
2025-11-05 20:06:58 | ============================================================
2025-11-05 20:08:07 | ======================================================================
2025-11-05 20:08:07 | arXiv 논문 수집 시작
2025-11-05 20:08:07 | ======================================================================
2025-11-05 20:08:07 | 2025-11-05 20:06:58 | 세션 시작: session_028
2025-11-05 20:08:07 | 2025-11-05 20:06:58 | 폴더 경로: experiments/20251105/20251105_200658_session_028
2025-11-05 20:08:07 | 2025-11-05 20:06:58 | 설정 파일 저장: db_config.yaml
2025-11-05 20:08:07 | 2025-11-05 20:06:58 | 설정 파일 저장: model_config.yaml
2025-11-05 20:08:07 | 2025-11-05 20:06:58 | 설정 파일 저장: multi_request_patterns.yaml
2025-11-05 20:08:07 | 2025-11-05 20:06:58 | ==========
2025-11-05 20:08:07 | 2025-11-05 20:06:58 | 키워드 수집 시작: transformer attention
2025-11-05 20:08:07 | 2025-11-05 20:06:58 | 검색 시작: query=transformer attention, max_results=15
2025-11-05 20:08:07 | 2025-11-05 20:07:01 | 다운로드 완료: Simulating Hard Attention Using Soft Attention (2412.09925v2)
2025-11-05 20:08:07 | 2025-11-05 20:07:01 | 다운로드 완료: Attention-Only Transformers and Implementing MLPs with Attention Heads (2309.08593v1)
2025-11-05 20:08:07 | 2025-11-05 20:07:02 | 다운로드 완료: Generic Attention-model Explainability for Interpreting Bi-Modal and Encoder-Decoder Transformers (2103.15679v1)
2025-11-05 20:08:07 | 2025-11-05 20:07:02 | 다운로드 완료: Pale Transformer: A General Vision Transformer Backbone with Pale-Shaped Attention (2112.14000v1)
2025-11-05 20:08:07 | 2025-11-05 20:07:03 | 다운로드 완료: Adaptive Sparse and Monotonic Attention for Transformer-based Automatic Speech Recognition (2209.15176v1)
2025-11-05 20:08:07 | 2025-11-05 20:07:03 | 다운로드 완료: Armour: Generalizable Compact Self-Attention for Vision Transformers (2108.01778v1)
2025-11-05 20:08:07 | 2025-11-05 20:07:04 | 다운로드 완료: BOAT: Bilateral Local Attention Vision Transformer (2201.13027v2)
2025-11-05 20:08:07 | 2025-11-05 20:07:04 | 다운로드 완료: WavSpA: Wavelet Space Attention for Boosting Transformers' Long Sequence Learning Ability (2210.01989v3)
2025-11-05 20:08:07 | 2025-11-05 20:07:07 | 다운로드 완료: Self-attention in Vision Transformers Performs Perceptual Grouping, Not Attention (2303.01542v1)
2025-11-05 20:08:07 | 2025-11-05 20:07:07 | 다운로드 완료: Selective Attention Improves Transformer (2410.02703v2)
2025-11-05 20:08:07 | 2025-11-05 20:07:08 | 다운로드 완료: The Hedgehog & the Porcupine: Expressive Linear Attentions with Softmax Mimicry (2402.04347v1)
2025-11-05 20:08:07 | 2025-11-05 20:07:08 | 다운로드 완료: Unique Hard Attention: A Tale of Two Sides (2503.14615v2)
2025-11-05 20:08:07 | 2025-11-05 20:07:09 | 다운로드 완료: CAT: Cross Attention in Vision Transformer (2106.05786v1)
2025-11-05 20:08:07 | 2025-11-05 20:07:09 | 다운로드 완료: You Only Need Less Attention at Each Stage in Vision Transformers (2406.00427v1)
2025-11-05 20:08:07 | 2025-11-05 20:07:10 | 다운로드 완료: Generalized Probabilistic Attention Mechanism in Transformers (2410.15578v1)
2025-11-05 20:08:07 | 2025-11-05 20:07:10 | 키워드 수집 시작: BERT GPT
2025-11-05 20:08:07 | 2025-11-05 20:07:10 | 검색 시작: query=BERT GPT, max_results=15
2025-11-05 20:08:07 | 2025-11-05 20:07:11 | 다운로드 완료: FoundationLayerNorm: Scaling BERT and GPT to 1,000 Layers (2204.04477v1)
2025-11-05 20:08:07 | 2025-11-05 20:07:12 | 다운로드 완료: Adapting GPT, GPT-2 and BERT Language Models for Speech Recognition (2108.07789v2)
2025-11-05 20:08:07 | 2025-11-05 20:07:13 | 다운로드 완료: (Chat)GPT v BERT: Dawn of Justice for Semantic Change Detection (2401.14040v3)
2025-11-05 20:08:07 | 2025-11-05 20:07:13 | 다운로드 완료: Assessing Large Language Models for Online Extremism Research: Identification, Explanation, and New Knowledge (2408.16749v1)
2025-11-05 20:08:07 | 2025-11-05 20:07:14 | 다운로드 완료: BERT vs GPT for financial engineering (2405.12990v1)
2025-11-05 20:08:07 | 2025-11-05 20:07:15 | 다운로드 완료: Selecting Between BERT and GPT for Text Classification in Political Science Research (2411.05050v1)
2025-11-05 20:08:07 | 2025-11-05 20:07:16 | 다운로드 완료: Mogo: RQ Hierarchical Causal Transformer for High-Quality 3D Human Motion Generation (2412.07797v1)
2025-11-05 20:08:07 | 2025-11-05 20:07:16 | 다운로드 완료: Evaluation of GPT and BERT-based models on identifying protein-protein interactions in biomedical text (2303.17728v2)
2025-11-05 20:08:07 | 2025-11-05 20:07:17 | 다운로드 완료: MedicalBERT: enhancing biomedical natural language processing using pretrained BERT-based model (2507.08013v2)
2025-11-05 20:08:07 | 2025-11-05 20:07:17 | 다운로드 완료: KI-BERT: Infusing Knowledge Context for Better Language and Domain Understanding (2104.08145v2)
2025-11-05 20:08:07 | 2025-11-05 20:07:18 | 다운로드 완료: Semantics-aware BERT for Language Understanding (1909.02209v3)
2025-11-05 20:08:07 | 2025-11-05 20:07:18 | 다운로드 완료: GPT or BERT: why not both? (2410.24159v2)
2025-11-05 20:08:07 | 2025-11-05 20:07:19 | 다운로드 완료: Single layer tiny Co$^4$ outpaces GPT-2 and GPT-BERT (2510.08404v1)
2025-11-05 20:08:07 | 2025-11-05 20:07:19 | 다운로드 완료: Comparing Few-Shot Prompting of GPT-4 LLMs with BERT Classifiers for Open-Response Assessment in Tutor Equity Training (2501.06658v1)
2025-11-05 20:08:07 | 2025-11-05 20:07:20 | 다운로드 완료: Sim-GPT: Text Similarity via GPT Annotated Data (2312.05603v2)
